 region_name ,Region Name,District Name,Settlement Code, Settlement Name ,Settlement Type, X Coordinates , Y Coordinates ,Absentees (HH) ,Absentees,Absentees between 2015-2018 (HH),Absentees between 2015-2018,Absentees in 2019 (HH),Absentees in 2019,  Residents (HH)  ,  Residents ,Returnees from internal displacement (HH), Returnees from internal displacement,Returnees between 2015-2018 (HH),Returnees between 2015-2018,Returnees in 2019 (HH),Returnees in 2019, Returnees from abroad (HH) ,Returnees from abroad,Returnees  from abroad between 2015-2018 (HH),Returnees  from abroad between 2015-2018,Returnees  from abroad during 2019 (HH) ,Returnees  from abroad during 2019, IDPs (HH) ,  IDPs (individuals)  , IDPs between 2015-2018 (HH) , IDPs between 2015-2018 , IDPs in 2019 (HH)  , IDPs during 2019 , Accesibility , Overall Reliability , Total_inflows , Current Population , IDPs ind (Sites) , IDPs ind (Rural and Urban) , IDPs ind Total , Residents ind (Rural and Urban) , Resident HH (Rural and Urban) , Rural IDPs (since 2015-2018 ind)  , Rural IDPs (since 2015-2018 HH) , Rural IDPs (since 2019 ind)  ,Rural IDPs (since 2019 HH), Urban IDPs (since 2015-2018 ind)  , Urban IDPs (since 2015-2018 HH) , Urban IDPs (since 2019 ind)  , Urban IDPs (since 2019 HH) , Urban IDPs (ind) , Rural IDPs (ind) 
Bakool,Bakool,Xudur,NA-3802-A10-001,Dugsiilow,Rural, 43.94787 , 3.99681 ,0.00,0.00,0.00,0.00,0.00,0.00, 70 , 420 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 420 , -   , -   , -   , 420 , 70 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-B14-002,Jilibow Wiinow,Rural, 44.11552 , 3.95717 ,0.00,0.00,0.00,0.00,0.00,0.00, 110 , 660 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 660 , -   , -   , -   , 660 , 110 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-B14-001,Jilibow Yerow,Rural, 44.11146 , 3.95743 ,0.00,0.00,0.00,0.00,0.00,0.00, 100 , 600 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 600 , -   , -   , -   , 600 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-A09-003,Kunya,Rural, 43.90200 , 3.96071 ,0.00,0.00,0.00,0.00,0.00,0.00, 210 ," 1,260 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   ," 1,260 ", -   , -   , -   ," 1,260 ", 210 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Z11-001,Iilay,Rural, 43.96523 , 4.01921 ,0.00,0.00,0.00,0.00,0.00,0.00, 300 ," 1,800 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   ," 1,800 ", -   , -   , -   ," 1,800 ", 300 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-S08-001,Moro Uanaile,Rural, 43.82850 , 4.32800 ,0.00,0.00,0.00,0.00,0.00,0.00, 150 , 900 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 900 , -   , -   , -   , 900 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-C12-002,Min Dhoobi,Rural, 44.02328 , 3.90991 ,0.00,0.00,0.00,0.00,0.00,0.00, 160 , 960 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 960 , -   , -   , -   , 960 , 160 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Z09-004,Makay Muroow/Suurow,Rural, 43.90164 , 4.00485 ,0.00,0.00,0.00,0.00,0.00,0.00, 90 , 540 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 540 , -   , -   , -   , 540 , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Z12-011,Madi-Wegled,Rural, 44.01413 , 4.02320 ,0.00,0.00,0.00,0.00,0.00,0.00, 60 , 260 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 260 , -   , -   , -   , 260 , 60 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3813-P32-001,Muqlayaryar,Rural, 43.43800 , 4.43792 ,0.00,0.00,0.00,0.00,0.00,0.00, 115 , 690 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 690 , -   , -   , -   , 690 , 115 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
